Vivienda,Salud,Transporte,Educacion,Alimento,Autocuidado,Ingreso_fijo,Clase,id,Fecha,Gasto_var_necesario,Gasto_var_innecesario,Ingreso_variable,Total Out,Total In,Balance
3938,2823,1912,1062,6030,2502,25359,Media-Alta,0,2021-01-31,510,724,8150,19501,33509,14008
1177,850,407,178,3681,599,7369,Baja,1,2021-01-31,143,162,991,7197,8360,1163
2762,1367,874,549,4999,1222,14472,Media-Baja,2,2021-01-31,241,477,4112,12491,18584,6093
4218,2637,2255,1067,4744,2997,32933,Media-Alta,3,2021-01-31,528,878,8187,19324,41120,21796
1353,832,315,177,3263,602,10001,Baja,4,2021-01-31,126,130,831,6798,10832,4034
2742,1703,1077,501,4275,1281,15266,Media-Baja,5,2021-01-31,279,591,4793,12449,20059,7610
2463,1537,948,460,4937,1662,15962,Media-Baja,6,2021-01-31,233,627,4709,12867,20671,7804
4566,3971,2975,2247,8661,4616,85505,Alta,7,2021-01-31,4946,5758,19746,37740,105251,67511
4313,2617,2576,1113,7631,2710,32806,Media-Alta,8,2021-01-31,580,540,6343,22080,39149,17069
4562,3289,3268,2041,8368,4501,78258,Alta,9,2021-01-31,5544,4763,16992,36336,95250,58914
2656,1474,1217,595,5264,1342,17341,Media-Baja,10,2021-01-31,252,573,5211,13373,22552,9179
2320,1591,1205,493,5107,1366,14769,Media-Baja,11,2021-01-31,264,485,4355,12831,19124,6293
2923,1598,1077,613,5352,1400,16037,Media-Baja,12,2021-01-31,240,478,4794,13681,20831,7150
3962,3452,2242,1040,5499,2692,34648,Media-Alta,13,2021-01-31,581,847,8482,20315,43130,22815
2758,1620,964,483,5443,1331,13798,Media-Baja,14,2021-01-31,265,473,4940,13337,18738,5401
1387,598,400,201,4083,640,7498,Baja,15,2021-01-31,168,163,750,7640,8248,608
2419,1539,1132,595,5454,1373,14536,Media-Baja,16,2021-01-31,262,517,5020,13291,19556,6265
2757,1632,956,549,4540,1163,15721,Media-Baja,17,2021-01-31,286,519,4975,12402,20696,8294
2968,1439,904,472,4277,1124,17686,Media-Baja,18,2021-01-31,218,588,5162,11990,22848,10858
2870,1481,997,519,5495,1330,15661,Media-Baja,19,2021-01-31,268,532,4455,13492,20116,6624
2569,1418,866,534,4700,1306,17834,Media-Baja,20,2021-01-31,236,557,4874,12186,22708,10522
3773,2857,2062,1198,5716,2976,29428,Media-Alta,21,2021-01-31,574,902,8816,20058,38244,18186
4671,3760,2101,981,4895,3309,35835,Media-Alta,22,2021-01-31,575,779,8022,21071,43857,22786
2349,1422,1080,517,4728,1652,17283,Media-Baja,23,2021-01-31,249,483,5521,12480,22804,10324
1422,839,378,172,3228,557,8645,Baja,24,2021-01-31,164,157,954,6917,9599,2682
5760,4674,3894,1650,9416,4934,63611,Alta,25,2021-01-31,5455,4578,16356,40361,79967,39606
4231,3154,2447,1216,5928,2747,28664,Media-Alta,26,2021-01-31,465,724,9006,20912,37670,16758
1434,819,367,228,3180,653,8211,Baja,27,2021-01-31,147,171,961,6999,9172,2173
4105,2896,2025,1008,5877,2812,39154,Media-Alta,28,2021-01-31,540,746,8016,20009,47170,27161
1208,719,362,229,3775,698,8956,Baja,29,2021-01-31,166,175,731,7332,9687,2355
2515,1481,1088,449,4106,1535,16394,Media-Baja,30,2021-01-31,307,547,5027,12028,21421,9393
3447,3674,2005,1161,6343,2584,29260,Media-Alta,31,2021-01-31,491,651,7894,20356,37154,16798
1510,843,374,239,3985,538,8152,Baja,32,2021-01-31,153,145,905,7787,9057,1270
5644,4590,3104,1778,9087,4464,62916,Alta,33,2021-01-31,5130,4438,15922,38235,78838,40603
2258,1619,1031,512,3481,1029,16992,Media-Baja,34,2021-01-31,244,571,5547,10745,22539,11794
2596,1738,1092,469,4689,1026,15532,Media-Baja,35,2021-01-31,250,500,4710,12360,20242,7882
2584,1573,851,567,3749,1280,15776,Media-Baja,36,2021-01-31,278,491,4454,11373,20230,8857
2574,1329,1096,605,4581,1325,16039,Media-Baja,37,2021-01-31,240,506,5038,12256,21077,8821
2235,1696,944,445,5230,1375,15525,Media-Baja,38,2021-01-31,248,539,4709,12712,20234,7522
6469,4438,3060,2021,8398,3940,78138,Alta,39,2021-01-31,4914,4433,16151,37673,94289,56616
4872,3264,3683,1755,9347,4370,73689,Alta,40,2021-01-31,5989,5168,18804,38448,92493,54045
5394,4188,3044,1983,10734,4194,70688,Alta,41,2021-01-31,5274,4031,14413,38842,85101,46259
4068,2632,2089,1223,5420,2404,31329,Media-Alta,42,2021-01-31,493,802,8470,19131,39799,20668
5719,4194,3214,1952,7794,3907,83368,Alta,43,2021-01-31,4957,5218,14415,36955,97783,60828
6560,4479,4072,1681,8863,4387,68702,Alta,44,2021-01-31,5831,5050,18883,40923,87585,46662
